ATLAS Ontology,cardinality,expected Type,range Restriction,OpenAIRE Application Profile,cardinality,OpenAIRE AP subproperty,expected Type,range Restriction,
schema:Dataset,,,,,,,,,
URI,1,,,datacite:identifier (M),1,datacite:identifierType (M),URI,ARK; DOI; Handle; PURL; URN; URL, 
schema:name,1-n,xsd:String,,datacite:title (M),1-n,,xsd:String,,
schema:description,1-n,xsd:String,,dc:description (MA),0-n,dc:descriptionType (MA),xsd:String,abstract; methods; seriesInformation; tableOfContents; other, 
schema:creator,1-n,URI,foaf:Agent[ORCID;catalogue],datacite:creator (M),1-n,datacite:creatorName (M); datacite:affiliation (R); datacite:nameIdentifier(R),xsd:String; schemeURI,,
schema:contributor,0-n,URI,foaf:Agent[ORCID;catalogue],datacite:contributor (MA),0-n,datacite:contributorName (M); datacite:affiliation (R); datacite:nameIdentifier(R),xsd:String; schemeURI,,
schema:publisher,1-n,URI,foaf:Agent[ORCID;catalogue],dc:publisher (MA),0-n,,xsd:String,,
schema:inLanguage,0-n,URI,EU Vocabularies - Language,dc:language (MA),0-n,,URI,IETF BCP 47; ISO 639-3, 
schema:educationalUse,1-n,URI,TaDiRAH,datacite:subject (MA),0-n,,xsd:string,keyword,
schema:distribution,1-n,URL,,oaire:file (MA),0-n,,URI,,
schema:url,0-1,URL,,datacite:alternateIdentifier (R),0-n,datacite:alternativeidentifierType (M),URI,ARK; DOI; Handle; PURL; URN; URL, 
schema:producer,0-1,URI,schema:ResearchProject,oaire:fundingReference (MA),0-n,oaire:funderName (M),xsd:String,,
schema:additionalType,1,URI,atlas:ScholarlyDigitalEdition ; atlas:TextualArchive ; atlas:LinkedOpenData ; atlas:Ontology ; atlas:Software; atlas:LanguageModel ; atlas:3DDigitalTwin,oaire:resourceType (M),1,,URI,COAR Resource Type Vocabulary, 
schema:datePublished,1,xsd:Date,,datacite:date (M),1,datacite:dateType (M),xsd:Date,ISO 8601 [W3CDTF],
dct:accessRights,1,URI,COAR,datacite:rights (M),1,datacite:rightsURI (MA),URI,COAR Access Right Vocabulary, 
schema:license,1,URI,schema.gov - Licenze | EU Vocabularies - Licenses,oaire:licenseCondition (R),0-1,,URL,,