ATLAS Class,COAR Resource Type,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,RO-Crate,KNOT,"OpenAIRE Application Profile https://guidelines.openaire.eu/en/latest/data/application_profile.html , https://openaire-guidelines-for-literature-repository-managers.readthedocs.io/en/latest/application_profile.html#application-profile ",SKG IF,IRIS,OpenAIRE AP subproperty,range Restriction,OpenAIRE Graph
,,,,,,,,https://schema.org/Dataset,https://schema.org/Dataset,http://www.w3.org/ns/dcat#Dataset,,Research product (M),,,,Research product
, ,,,,,,,URI,id,URI,datacite:identifier (M),local_identifier (M),id,datacite:identifierType (M),"ARK, DOI, Handle, PURL, URN, URL",id
https://schema.org/Dataset,dataset,Title (M),The full title of the research product and its abbreviations or aliases.,xsd:String,,1-n,TRUE,https://schema.org/name,https://schema.org/name,http://purl.org/dc/terms/title,datacite:title (M),titles,dc.title,,,mainTitle
https://schema.org/Dataset, ,Description (M),Brief text that describes the research product; its content and features.,xsd:String,,1-n,TRUE,http://schema.org/description,http://schema.org/description,http://purl.org/dc/terms/description,dc:description (MA),abstracts,dc.description.abstract,dc:descriptionType (MA),"abstract, methods, seriesInformation, tableOfContents, other",description
https://schema.org/Dataset,,Creator (M),The creator of the research product. It could be a single person; a group of people; an organization; etc.,URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,http://schema.org/creator,http://schema.org/author,http://purl.org/dc/terms/creator,datacite:creator (M),,dc.authority.people,datacite:creatorName (M),,author
https://schema.org/Dataset,,Contributor,Person or organization that has contributed to the realization of the research product.,URI,foaf:Agent[ORCID;catalogue],0-n,TRUE,https://schema.org/contributor,/,/,datacite:contributor (MA),contributions; relevant_organizations,dc.contributor,,,contributor
https://schema.org/Dataset,,Publisher (M),The publisher of the research product; e.g. the University hosting the research product.,URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,http://schema.org/publisher,http://schema.org/publisher,http://purl.org/dc/terms/publisher,dc:publisher (MA),relevant_organizations,dc.relation.projectFunderName; dc.relation.projectFundingStream,,,publisher
https://schema.org/Dataset,,Language,The language(s) used in/by the research product.,URI,EU Vocabularies - Language,0-n,TRUE,https://schema.org/inLanguage,https://schema.org/inLanguage,http://purl.org/dc/terms/language,dc:language (MA),,dc.language.iso,,"IETF BCP 47, ISO 639-3",language
https://schema.org/Dataset,,Research Activities (M),Research activities afforded by the research product.,URI,TaDiRAH,1-n,TRUE,https://schema.org/educationalUse,/,/,datacite:subject (MA),topics,dc.subject.keywords,,,subjects
https://schema.org/Dataset,,Downloads (M),The URL of the downloadable files; if available; or the URL of the download page.,URL,,1-n,TRUE,https://schema.org/distribution,https://schema.org/distribution,http://www.w3.org/ns/dcat#distribution,oaire:file (MA),manifestation,/,,,instance
https://schema.org/Dataset,,Landing Page (M),The website where the research product is presented.,URL,,0-1,TRUE,http://schema.org/url,/,http://www.w3.org/ns/dcat#landingPage,datacite:alternateIdentifier (R),,dc.identifier.url,,,instance > url
https://schema.org/Dataset,,Research Project,The research project the resarch product belongs to.,URI,schema:ResearchProject,0-1,TRUE,http://schema.org/producer,https://schema.org/funder,,oaire:fundingReference (MA),relevant_organizations; funding,dc.relation,,"ISNI, GRID, Crossref Funder, ROR",produces / isProducedBy
https://schema.org/Dataset,,Type (M),The type of research product.,URI,atlas:ScholarlyDigitalEdition ; atlas:TextualArchive ; atlas:LinkedOpenData ; atlas:Ontology ; atlas:Software,1,TRUE,https://schema.org/additionalType,/,http://purl.org/dc/terms/type,oaire:resourceType (M),product_type,dc.type,,COAR Resource Type Vocabulary,type
https://schema.org/Dataset, ,Release Date (M),The date or year the research product was released.,xsd:Date,,1,TRUE,http://schema.org/datePublished,http://schema.org/datePublished,http://purl.org/dc/terms/issued,datacite:date (M),,dc.date.issued,datacite:dateType (M),"accepted, available, copyrighted, collected, created, issued, submitted, updated, valid",publicationDate
https://schema.org/Dataset,,Access Rights (M),How the resource can be accessed. If more access rights are in place; describe how the main resource should be accessed here; and use 'Has part' to describe a subset for which different rights apply.,URI,COAR,1,TRUE,http://purl.org/dc/terms/accessRights,/,/,datacite:rights (M),,,datacite:rightsURI (MA),COAR Access Right Vocabulary,accessRights
https://schema.org/Dataset,,License (M),The license under which the research product is available to the public.,URI,schema.gov - Licenze | EU Vocabularies - Licenses,1,TRUE,http://schema.org/license,http://schema.org/license,http://purl.org/dc/terms/license,oaire:licenseCondition (R),,/,,,instance > license